epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2743,1.48298,2.05046,1.50995,0.39537,0.37861,0.35413,0.18606,1.66938,2.31704,1.81434,0.000472669,0.000472669,0.000472669
2,38.7735,1.36938,1.51216,1.42241,0.76798,0.46251,0.46241,0.2624,1.49205,1.81226,1.68625,0.000935581,0.000935581,0.000935581
3,56.2272,1.37661,1.49984,1.44263,0.48602,0.56123,0.51935,0.29775,1.44267,2.03864,1.60406,0.00138502,0.00138502,0.00138502
4,72.957,1.35423,1.41979,1.42121,0.78163,0.41268,0.4675,0.25706,1.50957,1.96853,1.63877,0.00136837,0.00136837,0.00136837
