epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28184.9,1.19362,1.01596,1.41242,0.5435,0.69765,0.65914,0.33872,1.71398,1.09279,1.24378,0.00101469,0.00101469,0.00101469
43,28794.5,1.17619,0.99702,1.40816,0.54818,0.65857,0.64125,0.32949,1.72994,1.08808,1.26978,0.00100459,0.00100459,0.00100459
44,29409,1.20188,1.02188,1.40373,0.60035,0.70398,0.68773,0.34561,1.7074,1.05277,1.2379,0.000994482,0.000994482,0.000994482
45,30127.3,1.17689,0.99097,1.39087,0.56326,0.68749,0.66948,0.34607,1.71285,1.07356,1.27711,0.000984377,0.000984377,0.000984377
46,30792.4,1.17636,0.9792,1.39487,0.58011,0.71693,0.69621,0.35276,1.6977,1.04655,1.24096,0.000974272,0.000974272,0.000974272
47,31380.6,1.19579,0.99036,1.3994,0.6267,0.69372,0.6903,0.34972,1.72372,1.07267,1.26743,0.000964167,0.000964167,0.000964167
48,31933,1.17288,0.96919,1.38168,0.59616,0.67977,0.6867,0.35239,1.71719,1.0311,1.25034,0.000954062,0.000954062,0.000954062
49,32565.7,1.17763,0.98541,1.37748,0.5452,0.70783,0.67131,0.34955,1.69127,1.05913,1.25851,0.000943957,0.000943957,0.000943957
50,33221.5,1.1757,0.98671,1.38688,0.60237,0.68539,0.6836,0.3547,1.70792,1.07726,1.25221,0.000933851,0.000933851,0.000933851
51,33874.8,1.16614,0.94802,1.38402,0.58562,0.68413,0.66257,0.33923,1.7128,1.08505,1.23783,0.000923746,0.000923746,0.000923746
52,34546,1.17959,0.98648,1.38305,0.51576,0.73366,0.66462,0.34885,1.68908,1.03518,1.22538,0.000913641,0.000913641,0.000913641
53,35255.4,1.14928,0.97758,1.37618,0.54654,0.70511,0.66143,0.3365,1.70996,1.05723,1.23817,0.000903536,0.000903536,0.000903536
54,35873,1.15165,0.97392,1.37912,0.64736,0.6898,0.69129,0.36095,1.69919,1.02362,1.2187,0.000893431,0.000893431,0.000893431
55,36529.4,1.15233,0.94938,1.3669,0.7131,0.64121,0.69635,0.36013,1.69429,1.03484,1.22531,0.000883326,0.000883326,0.000883326
56,37211.1,1.15831,0.95703,1.3765,0.58254,0.68488,0.65453,0.34181,1.68846,1.05706,1.22556,0.000873221,0.000873221,0.000873221
57,37884.4,1.14307,0.92223,1.35806,0.58011,0.70157,0.6718,0.35582,1.69221,1.03208,1.20791,0.000863116,0.000863116,0.000863116
58,38495.1,1.14058,0.92812,1.36231,0.60667,0.69006,0.67816,0.35192,1.70803,1.01349,1.22422,0.000853011,0.000853011,0.000853011
59,39164.6,1.12482,0.91152,1.35991,0.61592,0.66162,0.67886,0.3519,1.70892,1.03452,1.21966,0.000842906,0.000842906,0.000842906
60,39864.4,1.15319,0.92361,1.35633,0.58027,0.69463,0.66957,0.34747,1.72289,1.04983,1.24784,0.000832801,0.000832801,0.000832801
61,40538.8,1.12698,0.90897,1.34281,0.60898,0.66863,0.68535,0.36367,1.66059,1.03055,1.2172,0.000822696,0.000822696,0.000822696
62,41208.7,1.12871,0.91655,1.3495,0.58307,0.71341,0.68969,0.3624,1.68323,1.00134,1.20259,0.000812591,0.000812591,0.000812591
63,41885.4,1.11839,0.88718,1.3351,0.58811,0.72931,0.66942,0.35172,1.6786,1.0116,1.22596,0.000802486,0.000802486,0.000802486
64,42580,1.10393,0.90315,1.33233,0.60079,0.7199,0.69561,0.36544,1.67176,1.02593,1.24295,0.00079238,0.00079238,0.00079238
65,43299.5,1.14215,0.91027,1.33869,0.60218,0.69877,0.67528,0.35381,1.68717,1.03471,1.21061,0.000782275,0.000782275,0.000782275
66,43935.4,1.12712,0.87769,1.34251,0.596,0.69872,0.67966,0.36341,1.67953,0.99243,1.20499,0.00077217,0.00077217,0.00077217
67,44505.2,1.10542,0.88832,1.33156,0.60797,0.68259,0.68657,0.36276,1.68313,1.0213,1.21582,0.000762065,0.000762065,0.000762065
68,45076.7,1.1067,0.87844,1.32475,0.62393,0.63058,0.66778,0.35229,1.67002,1.05941,1.21152,0.00075196,0.00075196,0.00075196
69,45629.6,1.10696,0.88792,1.31603,0.55633,0.69651,0.64828,0.33979,1.6701,1.03315,1.21485,0.000741855,0.000741855,0.000741855
70,46275.2,1.12502,0.87339,1.33696,0.58187,0.68587,0.67393,0.35582,1.66883,1.02897,1.21299,0.00073175,0.00073175,0.00073175
71,46941.2,1.12005,0.8721,1.31473,0.62038,0.67129,0.6753,0.35897,1.67622,1.04521,1.21052,0.000721645,0.000721645,0.000721645
72,47534.6,1.10141,0.87903,1.33507,0.63386,0.6824,0.68049,0.35548,1.70323,1.01736,1.22357,0.00071154,0.00071154,0.00071154
